registration_id,name,email,phone,age,income_group,active,city,province,hobby,fav_movie,website_visit_count,website_recency,website_purchase_rate,website_purchase_amount,website_cs_call_count,accept_campaign_1,accept_campaign_2,accept_campaign_3,accept_campaign_4,accept_campaign_5
RK20202344,Fakhrul Fandy Widyaningtias,fakhrulfandywidyaningtias@outlook.com,6285244454,27,2,FALSE,Tanjungpinang,Kepulauan Riau,Amateur radio,The Shawshank Redemption,51,75,0.68,612000,1,TRUE,FALSE,TRUE,TRUE,FALSE
RK20202345,Ferdiansyah Amalina,ferdiansyahamalina@yahoo.com,6285244688,31,3,TRUE,Bogor,Jawa Barat,Animation,The Godfather,88,3,0.51,51000,3,TRUE,FALSE,FALSE,TRUE,FALSE
RK20202346,Ficky Rizkyananta,fickyrizkyananta@hotmail.com,6285244922,15,1,TRUE,Kota Administrasi Jakarta Pusat,Jakarta,Anime,The Godfather: Part II,30,19,0.69,276000,1,FALSE,TRUE,FALSE,TRUE,FALSE
RK20202347,Singgih Kharisma,singgihkharisma@hotmail.com,6285245156,49,4,TRUE,Metro,Lampung,Aquascaping,The Dark Knight,63,7,0.8,3200,3,FALSE,TRUE,TRUE,TRUE,TRUE
RK20202348,Jeremiah Dinanti,jeremia@rakamin.com,6285245390,25,2,FALSE,Malang,Jawa Timur,Art,12 Angry Men,99,81,0.15,105000,2,TRUE,TRUE,TRUE,TRUE,TRUE
RK20202349,Ridhwan Noerani,ridhwannoerani@hotmail.com,6285245624,43,4,FALSE,Kota Administrasi Jakarta Pusat,Jakarta,Astrology,Schindler's List,17,82,0.41,164000,3,FALSE,TRUE,FALSE,FALSE,TRUE
RK20202350,Okky Oktaviaman,okkyoktaviaman@roketmail.com,6281906358,35,3,TRUE,Surakarta,Jawa Tengah,Fashion design,The Lord of the Rings: The Return of the King,5,19,0.68,68000,1,FALSE,TRUE,TRUE,FALSE,FALSE
RK20202351,Dikposa Yosua Krisnanto,dikposayosuakrisnanto@hotmail.com,6281907247,28,2,FALSE,Kota Administrasi Jakarta Pusat,Jakarta,Fingerpainting,The Lord of the Rings: The Fellowship of the Ring,70,57,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
RK20202351,Dikposa Yosua Krisnanto,dikposayosuakrisnanto@hotmail.com,6281907247,28,2,FALSE,Kota Administrasi Jakarta Pusat,Jakarta,Fingerpainting,The Lord of the Rings: The Fellowship of the Ring,70,57,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
RK20202352,Dhanu Rahman,dhanurahman@gmail.com,6281908136,26,2,FALSE,Kota Administrasi Jakarta Selatan,Jakarta,Fingerpainting,Seven Samurai,18,93,0.25,175000,0,FALSE,TRUE,FALSE,TRUE,TRUE
RK20202353,Bob Arisa,bobarisa@yahoo.com,6281909025,40,4,TRUE,Salatiga,Jawa Tengah,Manga,Se7en,98,13,0.98,196000,0,FALSE,TRUE,TRUE,TRUE,TRUE
